"kill_death_ratio","kill_death_ratio_rival","map_name","win_stats","win_stats_rival","world_rank_position","world_rank_position_rival","winner"
1.05,0.96,overpass,80,0,7,5,1
0.96,1.05,overpass,0,80,5,7,0
1.05,0.96,dust2,37.5,40,7,5,1
0.96,1.05,dust2,40,37.5,5,7,0
1.04,1.07,dust2,75,0,23,17,1
1.07,1.04,dust2,0,75,17,23,0
1.07,1.04,inferno,42.9,28.6,17,23,1
1.04,1.07,inferno,28.6,42.9,23,17,0
1.07,1.04,overpass,71.4,57.1,17,23,1
1.04,1.07,overpass,57.1,71.4,23,17,0
1.1,0.92,overpass,80,25,20,22,1
0.92,1.1,overpass,25,80,22,20,0
1.1,0.92,train,66.7,42.9,20,22,1
0.92,1.1,train,42.9,66.7,22,20,0
1.15,0.92,vertigo,100,0,2,26,1
0.92,1.15,vertigo,0,100,26,2,0
1.15,0.92,nuke,100,42.9,2,26,1
0.92,1.15,nuke,42.9,100,26,2,0
1.13,1.1,inferno,71.4,33.3,9,24,1
1.1,1.13,inferno,33.3,71.4,24,9,0
1.1,1.13,nuke,50,75,24,9,1
1.13,1.1,nuke,75,50,9,24,0
1.1,1.13,train,33.3,25,24,9,1
1.13,1.1,train,25,33.3,9,24,0
1.06,0.91,nuke,100,16.7,3,21,1
0.91,1.06,nuke,16.7,100,21,3,0
1.06,0.91,inferno,63.6,37.5,3,21,1
0.91,1.06,inferno,37.5,63.6,21,3,0
